emotion,sentence
Anger,Maybe he was cheesed off meeting people so far along the ridge without explanation as to their start point.
Love,"Perhaps it has just got eczema, for crying out loud."
Disapproval,"Cut it out, Harvey."
Disapproval,Don't get your knickers in a twist.
Neutral,Take your head off and give it a rest.
Neutral,"If they can't accept me as I am, good riddance."
Disapproval,"But I wasn't there, and this is to your advantage because I'm not going to harp on about my favourite Shankly saying, or pretend I was close friends with the man like certain people do."
Anger,"The other customers were almost as hot under the collar as Phyllis, but for very different reasons."
Contempt,"Have some common decency. Mind your own business, whatever it is.'"
Anger,"I hate it, I rant and rave, I never like things I've done."
Anticipation,Don't miss these two chances to see red deer and roe deer as they leave the cover of their reed beds in the Leighton Moss Nature Reserve.
Fear,"That Wright is ultimately responsible for handling his short fuse and, to help him do that, think back to the hundreds of games he's played when there has been no trouble."
Neutral,"The bath was soon drawn, the foam white and thick, the mirrors steamed up."
Disapproval,But are the revisionists going too far?
Disapproval,"In one sense, the' lights out' issue at Beida was the last straw."
Anticipation,"Boxing and Las Vegas, joined in very unholy matrimony, are waiting with bated breath and heavily baited betting slips for the outcome of a fight that can be almost relied upon to restore some credibility to the heavyweight division."
Disapproval,Peter has sold the film rights to Romulus Films - but don't hold your breath waiting for it.
Neutral,"To do so, an architect requires a client who is prepared to aim high, has absolute faith in his vision, and nerves of steel."
Ambiguous,"Sparks fly along the nerve wires, pins and needles and it's over."
Fear,"The patient with back pain will say, I'm scared stiff."
Neutral,"For the remainder of the carol I was on tenterhooks, not daring to take my eyes from the lectern."
Anticipation,"It is this mixture of natural and mechanical sound that makes' Ecim' so absorbing, where the feeling that one half will overcome the other keeps the excitement captured here at a fever pitch."
Optimism,"But if you're prepared to hold your horses a little until that final fence, I've a feeling that you may well end up ahead of the rest of the field."
Optimism,"It is a new lease of life for Nigel, and he is raring to go."
Disapproval,"Anonymous high-technology manager yet nevertheless, this well-regarded manager occasionally succumbs to the pressure, and subordinates bear the brunt."
Disgust,We're bored to tears down here.
Neutral,Gentleman might look close to home before he makes that general assertion.
Optimism,There's a place deep down inside yourself where you are always safe.
Submission,In the city we were fish out of water.
Neutral,"I didn't get worked up about that, I'm always pretty calm."
Fear,You can't go to pieces.
Surprise,Power is prepared to run through a wall; Willie O'Connor is as hard as nails and Liam Simpson takes no prisoners.
Love,She's head over heels in love but them so am I.
Optimism,We need a change of heart to become truly unpossessive in our love for God and each other.
Optimism,But skipper Mark Wright believes they should look on the bright side of the draws at Ipswich and Leeds.
Ambiguous,Her mixed feelings underwent another upheaval.
Neutral,It's the end of an era but there are no hard feelings and we wish him well.
Neutral,In another letter he describes how he impishly tried to put Schikaneder's nose out of joint by playing the glockenspiel out of time from the wings.
Joy,He sounded pleased as punch for me.
Optimism,"Good Gofers can save face, time and trouble and allow you to make an impact."
Anger,"In a US property, a guest let off steam to the bartender because his room was not ready and it was already late."
Neutral,The bubble steamed up.
Joy,The bed was comfortable and so large you had to shout sweet nothings.
Anticipation,I'm really on tenterhooks about the twins.
Joy,"And what is even more wonderful, they all think the world of each other."
Contempt,"Magda Chadwick, born in 1928, experienced this thinly veiled hostility."
Disapproval,From now on there'll be no more going weak at the knees.
Optimism,"It's 1926, and Harlem's wonder years are in full swing."
Joy,"On location in Australia, he was nothing if not the life and soul of the party."
Joy,"It's all right, Robbie, I was pulling your leg."
Optimism,"Now then, Chris, you take it easy and have an early night."
Joy,"At that moment, and perhaps for an hour afterwards, I was on Cloud Nine."
Optimism,It you are constantly down in the dumps over the price of fleecewear then this may be the answer to your prayers.
Sadness,"I wished I could help him then, he looked so down in the mouth hunched up by the stove."
Sadness,"He gets up, opens the door, and his heart sinks, seeing Tommy standing there with Iain."
Disapproval,They never look back
Joy,I was over the moon.
Joy,The ciderheads were in seventh heaven.
Joy,She was thrilled to bits.
Contempt,Gardening is among the activities on offer for the over 50s when the Time of your Life Expo arrives in Glasgow early next year.
Sadness,Coming on top of the World Cup cricket fiasco.
Love,She felt as though she was walking on air.
Contempt,"Well, what do you expect me to do? Go bananas? Cut my throat?"
Disapproval,"But when I look at what I've written, I feel it's not all there."
Disapproval,"The admiring O'Reilly recalls that he was definitely a screw loose, withthis devilish, evil look in his eyes."
Disapproval,"Moreover, since his political authority was based partly on the myth of his personal infallibility, he could not eat humble pie before the Allies without causing people to question both."
Neutral,"Towards the end of his career Freud developed the idea of the parapraxis, generally referred to as the Freudian Slip."
Optimism,He had to learn through trial and error.
Neutral,"The ideas expressed may well be wide of the mark, or they may not be, but this does not really matter since the purpose of hypotheses is to stimulate more ideas, and the research to either confirm or refute them."
Neutral,Here in Denmark it is not the done thing for parents to strike their children.
Disapproval,"According to reports at the time, McAvennie and a couple of unnamed cohorts left the club's annual Christmas dinner and tried to gatecrash a private party being held in the hotel by West Ham's commercial manager Brian Blower."
Disapproval,The discount -- the Achilles heel of the system -- would be better abandoned now rather than later.
Fear,"That's how one Irish farm leader sums up commissioner Ray MacSharry, the former minister for agriculture, whose radical reform plan for the CAP has set alarm bells ringing in his native country."
Disapproval,Turning out a valuable beast on the common today would be asking for trouble.
Fear,I should keep your back to the wall.
Disapproval,I'm trying to get through to the Kosher butcher -- it's on the blink and I've people coming for dinner Friday.
Ambiguous,It is not just a can of worms that the professor has been a digging.
Neutral,In Tory demonology they will always carry the can.
Ambiguous,So I found myself in one of those catch 22  situations and I chose the lesser one.
Remorse,"For some, the chill wind of competition is again blowing through their offices."
Optimism,"Come Hell or high water, the Met observations had to be made every hour, on the hour, and the show must go on."
Sadness,"The great all seem to have had this cross to bear, and that is no comfort."
Fear,"The crux of the matter is, how do we prevent a 1947 or 1990 flood occurring again?"
Optimism,"I can capture just one of them, then perhaps we'll get to the bottom of this"
Neutral,"Should the nobility refuse to cooperate, the monarchy would be left high and dry and the monarch himself would be unlikely to survive."
Fear,"You're going to be left in the lurch, Giles."
Neutral,"However, as a last resort the telephone can be used."
Disapproval,It used to be murder talking about it.
Anger,"For many, paying taxes is at best a necessary evil, at worst a legal way for the Government to steal your money."
Contempt,There is frequently a tendency to pass the buck.
Ambiguous,End of the war or a quick fix?
Sadness,Leaving the court the families all tried to put on a brave face.
Neutral,"Drain thoroughly, lightly scratch the surface with a fork and sprinkle lightly with salt."
Optimism,I don't think there is a major stumbling block.
Anticipation,"Once the firms' merger was in place, Mr Morrison took up the thorny issue of rationalising the accountancy profession."
Disapproval,MPs put the governor of the Bank of England in a tight spot over Harrods bank.
Disapproval,Government officials say the captured Spanish trawlers are the tip of the iceberg of illegally fishing vessels.
Disapproval,"So far, the tour had been an unmitigated disaster."
Disapproval,"The result, in short, was a vicious circle."
Optimism,I hope all your plans go forward without a hitch.
Fear,I feared that without him I would batten down the hatches of the physical part of me and crawl back inside the shell which I had built around myself in the three years before he blew through my life.
Disapproval,"These high-handed tactics were obviously risky, but they were a calculated risk."
Joy,And so we all had a close shave once a term.
Neutral,"Then it happened, that one false move that a batsman never wants to make."
Disapproval,"From the point of view of the authorities, revitalizing the universities was a policy fraught with danger."
Neutral,"There are many old sayings and proverbs that point to the wisdom of thought before action, such as' look before you leap',' more haste, less speed',' second thoughts are best', and so on."
Neutral,"Some of that fortune was put out of harm 's way, overseas."
Optimism,"If we can tap it successfully,our future is in safe hands."
Anticipation,"Apologise for the intrusion, to be on the safe side."
Joy,"Again, safety in numbers saves the day for the prey species."
Neutral,This is partly because of the importance of the interests at stake in immigration decisions.
Fear,"Holliman decided that they had to take cover, so they scuttled into a patch of scrub and camouflaged themselves with nets."
Optimism,"I'll show you the way, watch your step, it's a bit of a difficult climb."
Ambiguous,"The blight of' 87 is not media cowardice, record companies asleep at the wheel, callous insipidness, the return of rock, incoherence, a lack of great songs, but rather, a surfeit of passion. "
Optimism,The justification for doing the work might be seen to lie in the material benefits it produced.
Surprise,"Something hit me on the back of the head, here, and I went out like a light."
Submission,Of course people are talking pretty big at the moment but half of them are as ready to drop as I am.
Neutral,"It is possible that Storr continued the concern, Fogelberg perhaps acting as the sleeping partner."
Neutral,"On the positive side, it would secure the only international outlet for its mainframes, and with Zenith Data Systems and Bull Micral, would finally be able to shed its also-ran image in the world personal computer market, on the negative, there would be the threat of re-nationalisation under a new administration."
Neutral,"If Gesell had killed DeVore, they'd have been back to square one."
Neutral,Shall I put all this in the bag?
Optimism,A development which seems likely to bear fruit was the creation of a working party from within the panel.
Disapproval,The director Stephen Spielberg has banned his children from seeing his latest blockbuster.
Disapproval,But the ideals of the purist must always come to grief in the devastating vortex of national politics.
Anticipation,He said the Government was on course for elections to the new councils in 1995.
Disapproval,"Competition climbing is laughable in this country, and is probably a dead duck anyway."
Sadness,But it's all downhill from here.
Contempt,Yet there are certain composers who fall flat on their face unless the adrenalin really start to flow.
Neutral,"There is no watershed, or fall from grace."
Neutral,I think if Kylie Minogue has been a flash in the pan she would have lasted for a couple of singles.
Optimism,He would have passed it with flying colours.
Neutral,The appeal got off to a flying start at the weekend when the group held a jumble sale and raffle.
Joy,"This causes onlookers to despair, and TV schedules to go up in smoke, which can't please Philip Morris, the sponsor."
Optimism,"If economists can only incorporate a bit of psychology, they've got it made."
Neutral,"With the introduction of carbon fibre, rod development has come on in leaps and bounds."
Neutral,You've come a long way for a late-night drink
Awe,"However, funds for the day-to-day running of the Mill are at a low ebb."
Anticipation,Is Iran about to make a comeback?
Sadness,She would like to make a go of it but there is nothing there it is so sad.
Disapproval,They consistently underachieve at school and demonstrate little desire to make headway along a career avenue to success.
Anticipation,"On the one hand, the England game could be make or break."
Anticipation,They felt sure that at the moment of truth in the polling booth most voters will consider their wallets.
Disapproval,Women very quickly got left out of the picture and it was a very conservative state that took over.
Disapproval,"Pack it in, you lot should be music journalists."
Disapproval,It may pass muster as television commentary but on the page its studied neutrality rings false.
Neutral,It was a pyrrhic victory for both sides.
Joy,Danaher's is a rags to riches story.
Ambiguous,"Blackpool are riding high in Division Four, while United have slowly sunk down the table."
Ambiguous,This is Levitation can they rise to the occasion?
Optimism,I thought of the far nurseries of the stars and how many days' sail through the thin seas of hydrogen would take us beyond the space lamps.
Neutral,Could' super clippie' save the day?
Anticipation,The Highways Department will sink or swim on the basis of everyone pulling together.
Optimism,"If they want the bird, the sky 's the limit."
Awe,McEnroe still my smash hit says Tatum.
Disapproval,Suffice to say Kennel Club standards will be out the window on Top Dog Day.
Joy,We had arrived from Harehills on the up and up with the booming coal industry.
Neutral,Ludo leans over the saucepan and stirs the milk with a wooden spoon.
Trust,"The way he gained the word that sustains the weary was not like a bolt from the blue, but through patiently listening to God morning by morning."
Surprise,"How would you like to be an innocent old woman quietly doing your knitting, and then get a letter like that out of the blue?"
Surprise,Sybil's jaw dropped.
Joy,"Lo and behold, the thief was caught red-handed."
Surprise,Obviously Kaplan's recording will raise eyebrows.
Anger,"By morning, if anyone troubled to come looking for her, they would probably find her poor, frozen body rooted to the spot by a cage of spindly icicles."
Surprise,Baby kidnapper Caren McSweeney is so stunned by what she did that she has been struck dumb.
Sadness,"Team spirit reached an all time low on this one, but at least we didn't come to blows."
Aggression,He is prepared to fight tooth and nail to stop anyone opening one near his house.
Sadness,"But if a case proves fatal, the result will not be a free for all but an even tougher enforcement mechanism to replace it accounting solutions."
Remorse,"Unlike Tit for Tat, Always Cooperate is not stable against invasion by nasty strategies such as Always Defect."
Anger,Single travellers would be justified in being up in arms over InterCity Sleeper's latest ad suggesting that you to save money.
Neutral,It had been fired by Protestant arsonists in the Wars of Religion.
Remorse,It only became a moot point because David was a meal ticket for so many people.
Neutral,"In some cases, of course, his penchant for doggedness, which seems to have become more pronounced towards the end of his career, appears to be at odds with the spirit of the music."
Optimism,Mosley had offered the olive branch.
Disapproval,"Anywhere in Vienna's out of the question of course, or we'll finish up getting shot alongside him."
Disapproval,What had started out as a dramatic sea chase and developed into a running battle had fizzled out in a disappointing anti-climax.
Remorse,"However, this is water under the bridge."
Neutral,They have been caught in the crossfire of this particular Serbo-Croat war and have responded by fighting against the Serbs.
Optimism,"The time taken to digest the source of the odour varies according to the size of the problem, so to immediately clear the air AirX features a unique ingredient called Airicide which converts the bad smell to a pleasant one immediately."
Optimism,Although the book ended on a positive note in that the enemy's group leader tried to let bygones be bygones.
Neutral,Wouldn't it be better to let sleeping dogs lie?
Contempt,Farmers and farm workers find that they have common interests as locals which can be at loggerheads with those of the newcomers.
Surprise,But there was no love lost between the stars.
Optimism,"A remarkable number of MPs attend BNF's annual autumn meeting, arranged precisely for people who do speak out and argue the toss on nuclear issues."
Submission,"We had no right to involve Frank in any battle of wills between Mazzin and his colleagues, so we had to avoid a confrontation."
Disapproval,The examination system has long been a serious bone of contention in this country.
Neutral,"Or he or she may call your bluff and see what happens, in which case you must fight and keep on fighting."
Anger,By this point some of my readers will be up in arms.
Anger,"The poor woman had given way to a black mood and been swamped by her ugly past, he explained."
Disapproval,I must be the only manager in the country who is cheesed off that his side are still in the FA Cup.
Anger,"Forget it, Rory, for crying out loud forget it."
Neutral,The Germans cut it out and ruthlessly exploited the possession as dangerous winger Ludwig Kogl crossed along the ground.
Neutral,"It is not only more kind, but more intelligent, to give it a rest or let it slow down."
Contempt,Take him and good riddance.
Remorse,I was obsessed with being flat-chested and unglamorous and I used to harp on about how he must be hankering for someone more glamorous.
Anger,Many of us become hot under the collar over local issues.
Contempt,So what if they tell you to sod off and mind your own business?
Anger,"You can go down to the council and rant and rave, you still wont get anything."
Neutral,Armchair birdwatchers can see red kites and peregrine falcons through the eyes of painter Bruce Pearson in David Cobham's Birdscape on Channel 4 on Thursdays in May and June.
Disapproval,"Kevin Keegan, the new kid on the managerial chopping block, lasted just two games before falling victim to the short fuse of frustration."
Neutral,"It is the pantomime humour we all grew up with, where the compre talks about the organist's big organ and his steamed up glasses."
Fear,You're in danger of going too far this week.
Disgust,That was the last straw as far as I was concerned.
Ambiguous,"Commecrial viewdata services aimed at domestic customers are starting up in the US later this year, but it is not clear that the public is waiting with bated breath."
Disgust,"If you go fertilizing with unsterilized bonemeal, for instance, hold your breath; the stuff can be crawling with anthrax germs."
Fear,On the Saturday I got the pins and needles back and was rushed to casualty.
Fear,The young lady behind the bar was scared stiff by our presence.
Sadness,"Everyone had been waiting on tenterhooks on the platform, as they had been technically ready for more than a day."
Neutral,"And while the arm and thigh muscles do the greatest share of the work, the rider's whole body is at fever pitch during a race."
Optimism,By the New Year I'll be raring to go and can tell the manager.
Ambiguous,"The council, backing the "" polluter must pay "" argument, says it is unfair for householders to bear the brunt of the cost; a tax should be levied on pesticide manufacturers, it argues, and motorists should pay for road drainage through the car licence duty."
Neutral,That is very close to home.
Anticipation,I'm sensing warp portals opening deep down in our city.
Anger,"Ultimately, the return of Madness is hardly something to get worked up about."
Trust,"I also establish safety by showing I'm able to take a hell of a lot of flack and stress and if they go to pieces, I'll be there"
Optimism,"Young Keith looks a great prospect, a fast and astute runner with the ball, hard as nails in driving play, a good kicker and passer."
Love,"With Keith, I fell head over heels in love with him from the first time we met."
Anticipation,"As we fail to remember our previous situation, a slow and subtle change of heart takes place."
Joy,It was appreciated by fans who sang 'Always Look On The Bright Side Of Life.'
Neutral,"Rosa showed him into the living-room, where Luce was waiting with mixed feelings."
Ambiguous,"I wrote back thanking him and assuring him that there were no hard feelings on my part, but my decision is unchanged."
Joy,"Australian charged with spreading the rugby league gospel in the capital, was pleased as punch."
Anger,"He really gets steamed up if they're left open,"
Anticipation,"Louis was reconstituting the royal family, keeping his adult sons on tenterhooks."
Contempt,Franco's thinly veiled reference to a difference of opinion with his Italian and German collaborators was an understatement of the truth.
Neutral,"She left her office at about five forty-five, saw Naylor's Jaguar in the car park and went weak at the knees about him for a few seconds, then she determinedly got into her own car and drove home."
Ambiguous,"By midnight the end-of-course party is in full swing, but most cadets, like the General, are sound asleep."
Ambiguous,"You don't have to stay in bed all the time, but take it easy and watch your diet."
Joy,Living on cloud nine is intoxicating and precarious.
Anger,"Some were very angry, they thought it would last for ever, yes a bit down in the dumps, especially the younger people, some old people looked forward to it."
Joy,"The National Display Team came for the afternoon to show their special item , we were all over the moon."
Joy,"He was in seventh heaven, so excited."
Joy,"Looks thrilled to bits, doesn't he?"
Optimism,"This book is about achieving the most from that time of your life, whenever it occurs."
Joy,"Mountain biking is wonderful, you're on top of the world while you're pedalling and even higher when you've finished."
Joy,"There is a curious feeling of walking on air, which I have never thought as agreeable a sensation as people try to make out."
Optimism,Go bananas for that hour glass figure.
Neutral,"Of course, this is not all there is to life."
Submission,"They just hadn't come to her notice, so she had to eat humble pie."
Optimism,He had to learn through trial and error.
Disapproval,Any notion that the economy of the countryside is fundamentally different to that in towns is now wide of the mark.
Neutral,"No I don't, but nevertheless, nobody knew only people like us and the neighbours, how that kid was every day when her mother according to Julia had her because it was the done thing."
Submission,"Friends clamoured to escape the trauma of walking endlessly up and down Glasgow's Byres Road with a bottle of Hirondelle looking for a party to gatecrash,."
Neutral,"However, Mr Ray also warned delegates that the achilles heel of the case for nuclear remains the issue of the disposal of waste."
Disapproval,"More precisely, one complaint from a parent actually appeared, but this was enough to set alarm bells ringing."
Neutral,"My God, asking for trouble, just asking for it."
Neutral,"She stood with her back to the wall, sheltering from the rain."
Neutral,"If anyone makes a mistake, it's the senior person who has to carry the can."
Surprise,"In short, for many employees constructive dismissal claims give rise to a Catch 22."
Remorse,"Thought it has a supportive county council and a productive work force, yet it has its cross to bear."
Neutral,The crux of the matter today is that those children were not listened to or believed when they complained to the very people in whose care we had put them for protection.
Optimism,"And then, voila, Inspector Rose will get to the bottom of the mystery and we can enjoy our holiday."
Neutral,"At Crowland in Lincolnshire stands a medieval bridge, stranded high and dry in the middle of the town."
Love,But I won't leave you in the lurch even if that time comes.
Neutral,For the viability of towns depends in the last resort on a solid economic foundation.
Disgust,"I didn't like that much because it was so smelly, but a necessary evil."
Contempt,A manager who wishes to resist change will pass the buck by saying that customary habits and methods have always worked in the past.
Neutral,There is no quick fix to defeat terrorism in Northern Ireland.
Sadness,"He was shattered, though he put on a brave face."
Ambiguous,Utilities such as electricity have a boring image but scratch the surface and it's fascinating.
Ambiguous,The chief stumbling block to a wider newspaper audience remained the high illiteracy rate.
Disapproval,Tax relief is a thorny issue because it over-benefits those who are earning.
Surprise,Or a mite more forgiving in a tight spot?
Fear,"Moreover, death is just' the tip of the iceberg."
Disgust,The effect was to leave the peasant in a vicious circle of poverty.
Joy,"The performance went off without a hitch and the Vancouver Symphony Orchestra, with Dr Otto Klemperer conducting, played brilliantly."
Neutral,"When news arrived that not only France but also the Habsburg Empire was tottering, he became yet more strongly inclined to batten down the hatches."
Optimism,The whole point is adventure and calculated risk taking.
Remorse,I did take chances from time to time and can recall more than one close shave.
Disapproval,In Whitehall there was a deep awareness of the fragility of British power: one false move and the whole house of cards could come tumbling down.
Neutral,Making an advance estimate of its amount in a particular case is fraught with danger.
Neutral,"Whatever you decide, it pays to look before you leap."
Optimism,All his vital organs are safely out of harm 's way.
Trust,He left them in safe hands.
Love,"She must fetch her raincoat, just to be on the safe side."
Joy,There is safety in numbers folks.
Neutral,"Thirdly, there is therefore never a single hypothesis at stake."
Neutral,Grade Two studying next to a ditch in which they can take cover if the planes should strike today.
Anticipation,"The sign outside may say Cad Mle Fate, but inside you watch your step."
Neutral,"His real interests, however, increasingly came to lie in science and eventually his father paid for him to attend University College London, where he studied chemistry."
Neutral,"He's not, he'll be out like a light."
Submission,Malleson had said that half the people were as ready to drop out as he was and he had already dropped out.
Contempt,"He used to be in the board meeting with us, and was referred to as the sleeping partner by the directors."
Disapproval,Education chairman Gideon Ben-Tovim said Option 3 took the council back to square one in its search for a long-term policy for special schools.
Optimism,The Welsh farmer's son had the 1988 conditional jockeys' title already in the bag.
Ambiguous,As the branch can not bear fruit by itself.
Neutral,"But as aspiring authors know, there is more to a blockbuster than a fulsome blurb."
Disapproval,Many manufacturers have come to grief on the belief that technical solutions can be bought pre-packaged.
Joy,"First, we want promotion this season and we're on course for that."
Submission,"April Harold Wilson admitted what everyone else already knew, the Bill was a dead duck."
Disapproval,Now the arguments against using lightweight man-made slates fall flat.
Fear,And its spectacular fall from grace should serve as a warning.
Joy,Mr Crowe emphasised the achievement was no flash in the pan but the result of continuous improvement over several years.
Joy,I am delighted that they all passed with flying colours.
Optimism,"However, you also need to give yourself a flying start by stimulating the circulation through massage and natural herbal extracts."
Disgust,"Such deliberation, while the youth of Britain were liable to go up in smoke, outraged many."
Neutral,"Nowadays, these people have got it made."
Optimism,Since 1966 our knowledge of ganglion cell classes has increased in leaps and bounds.
Optimism,"We've all come a long way, Carrie, and we're going to go a lot farther."
Neutral,Basic research on petrochemicals was at a low ebb around 1980.
Optimism,"Still, the Poles appear determined to make a go of it."
Neutral,"Though generally they are only out by one grade, that can be make or break for some."
Anticipation,This is the moment of truth for the Lions the six build-up provincial games can be forgotten.
Optimism,"Flotation is still not out of the picture, with 1994 being forecast as the big year."
Submission,"Faced with a family mutiny, he decided to pack it in and sell up."
Optimism,"For our purposes, only the final group pass muster into the Soviet Empire, but the others are worth noting in passing."
Optimism,There is more than a touch of rags to riches in the story of the outsize barons.
Anticipation,"But if Mr Kohl is now riding high, East German expectations are riding higher."
Optimism,"He could not therefore help but rise to the occasion, as he had risen to it before."
Disapproval,The bland and the placid may seem to sail through life but they are either living a superficial existence or else.
Anticipation,"The last two competitors may be called upon to save the day, so always ensure that you keep at least one good finisher."
Neutral,IBM cuts four euro plants loose to sink or swim.
Anticipation,Not since the surprise smash hit of the year cast a rosy glow over Shore's vehicle.
Ambiguous,A top dog always wants to be top dog.
Optimism,"All in all, it can only mean that tea time is on the up and up."
Neutral,The Premier League new boys finished with the wooden spoon after losing a penalty shoot out 5-4 to John Toshack's Real Sociedad.
Neutral,"Even so, dismissal should never come as a bolt from the blue, however exalted your place in the corporate hierarchy."
Surprise,Signor Candiano's letter had come out of the blue.
Love,Ronni's jaw dropped open.
Neutral,"Why, lo and behold, one of them would solemnly type' Methinks it is like a weasel, and another would almost certainly type' I think therefore I am'."
Fear,The blood ran cold in Rory's veins as she stood rooted to the spot in horror.
Joy,We were all struck dumb for the moment.
Aggression,"They'll come to blows with the Kurds, who'll want their own state."
Neutral,Subarctic fishing grounds that were once free for all are now controlled by the country.
Ambiguous,"If 13 of them had been nasty, Tit for Tat wouldn't have won."
Anger,The organisation representing rank and file members of the Republic's army was up in arms today over a new security vetting procedure.
Neutral,"Written in verse, the play was set in the Middle Ages and told of a soldier back from seven years in the wars who wanted to die and a beautiful witch who wanted to live."
Neutral,Whether this input has made a significant impact on the pattern of activity is a moot point.
Joy,Alexander found himself at odds with these famous words of Shakespeare.
Disapproval,"My dear Dowdy, out of the question."
Optimism,"To some extent, that is water under the bridge."
Neutral,Marcian and Leo found themselves at loggerheads not so much over the dogmatic formulation as over the disciplinary canons that were appended.
Disapproval,"It is a brave agency that will argue the toss in the circumstances, and a lucky one that will find a client ready to listen."
Aggression,"As food can become the ammunition in a battle of wills between children and their parents, so, too, can the process of toilet training."
Neutral,The policy of fixed commissions had remained a major bone of contention throughout the Government's dispute with the Stock Exchange.
Anger,With the ICAEW examinations the tutors would be up in arms if any referral subject had a pass rate less than the rate for students sitting all papers.
Anger,He decided to try to shake Sien out of her black mood by acting angrily.
Neutral,She sounded really cheesed off about it when I said how's your revision going.
Anticipation,"Well, you'll have all the time you need to be beautiful this summer and that's what summer is about, for crying out loud."
Neutral,"Stick a piece of Christmas tape across the top of the stocking, cut it out and stick it to a folded piece of card."
Neutral,Give it a rest for several hours after each test.
Contempt,Tonight you marry Manfro Draper and tomorrow you'll be on your way and good riddance.
Trust,"Because it's a beta version, I don't propose to harp on about any niggles."
Anger,A bit hot under the collar.
Contempt,Mind your own business.
Anger,"Regularly, up to three times a week, they would rant and rave in the streets."
Neutral,Suppose that my private visual experience is strikingly atypical in that systematically I see green where others see red.
Optimism,"Just like Walter Trout, 42 year-old Dave has been making his European debut courtesy of Dutch record label Provogue, and the album' Short Fuse Blues' is receiving very favourable recognition with blues fans everywhere."
Aggression,"It means thinking before you speak, trying hard not to get all steamed up and confrontational."
Remorse,"It is going too far to say, cogito."
Anger,"Well, it was the last straw."
Anticipation,"I pretended not to notice it, and, as the students listened with bated breath, instructed them to turn to page thirty in Jespersen."
Contempt,Don't hold your breath waiting for a reply.
Fear,Styczynski had x-rays after saying that he had pains in his chest and pins and needles in his arms.
Fear,"Cis, who knew about it, was scared stiff."
Neutral,"The basis for his Scottish policy was his conviction that English safety lay in separating France and Scotland, and that conviction reached fever pitch in 1543."
Optimism,Tony Rickardsson is raring to go this season.
Neutral,One such problem is particularly close to home for many of my Gravesham constituents.
Trust,"But, deep down, every Russian knows that our strength is in our unity."
Ambiguous,Other critics who could not get worked up about the play also admired the acting.
Neutral,"And, though we give you a finish that's as hard as nails, everything is made to a remarkably gentle formulation."
Joy,They fell head over heels in love and my real Mother returned.
Neutral,God gave them more than four centuries to show a change of heart.
Optimism,"So let's look on the bright side, Mr. Coles."
Neutral,Leonora digested this peace of news with mixed feelings as he set her on her feet.
Neutral,There are no hard feelings between ourselves and Camra.
Joy,"He was a strong, healthy lad and as pleased as punch to be working with Dad."
Neutral,The car got all steamed up and misty.
Fear,"For the remainder of the carol I was on tenterhooks, not daring to take my eyes from the lectern."
Love,"He grasped her suddenly nerveless fingers in his hand, sending her a smile with enough voltage to make her weak at the knees."
Neutral,Soon it was dark and the Christmas evening was in full swing.
Disapproval,"Come on, girl, take it easy."
Sadness,The market is down in the dumps.
Joy,Eva was over the moon.
Joy,My good friends of masher persuasion are in seventh heaven when they have the opportunity of admiring eight pretty faces.
Joy,"Going Live host Phillip, 30, popped the question yesterday and was' thrilled to bits' when 28-year-old Stephanie said yes."
Optimism,"The time of your life at a price anybody can afford, and a great chance to make new friends in the sunshine."
Optimism,"Set in extensive gardens, the staff at the Sauerhof go out of their way to make visitors welcome, and with the superb health, fitness and beauty programmes on offer, you're sure to leave feeling on top of the world."
Love,Most couples feel they are walking on air on their wedding day but for Sellafield's Zoe Whittle and Terry Madrick it was more than just imagination.
Aggression,"I go bananas, I go spare, I go for you in a big way, I go for you with a knife."
Joy,Of course that's not all there is to this beautiful island.
Contempt,Will the Secretary of State for Scotland have to eat humble pie again or will he stand up for Scotland and make this a resignation issue?
Disapproval,"The manual alternative, in which you have to switch from record mode to play, and then check to find the end of the previous recording by trial and error before returning to record mode, is messy, time-consuming and wasteful of precious battery-time."
Disapproval,"Members wishing to express an opinion in the debate later this afternoon, any suggestion that the additional two hours provided is adequate is clearly wide of the mark?"
Anticipation,"We were trying to diverse the music with the mixture of soul and reggae, though it wasn't really the done thing at that point."
Anticipation,Kenny Schaefer aims to gatecrash the world's top ten by beating York's Commonwealth supermiddleweight champion Henry Wharton on Thursday.
Neutral,"Venus fly trap, who've just released their latest' Achilles Heel' single on Danceteria."
Fear,Careful study of this sent alarm bells ringing throughout vast areas of southern and eastern England.
Disapproval,It's simply asking for trouble.
Fear,Turn around and jump back to the wall.
Submission,"Unfortunately, a Catch 22 comes into play here."
Neutral,The only way to get to the bottom of it is to confront the chairman.
Neutral,"Soon after it was built, it was left high and dry by a storm and thereafter was used as a signalling tower by Blandy's."
Disgust,They have fled the field and left their constituents in the lurch
Anticipation,"It means that when pesticides are used, and it is only as a last resort, then the most environmentally friendly are chosen."
Disapproval,It is not enough for the Minister to pass the buck to the chief inspector of constabulary.
Neutral,I do not believe that there is a quick fix for the coal industry.
Neutral,This is the major stumbling block to experimental realisation of the Lorenz system in lasers.
Disapproval,The taxation of disturbance allowances is a particularly thorny issue.
Optimism,That kind of farce was just the tip of the iceberg.
Submission,"The thing is, it's a vicious circle, it's Catch 22 really."
Optimism,"Superintendent Huddleston noted with evident self-satisfaction that everything worked without a hitch, and there was not a single accident of any kind."
Anticipation,"When the future seems to be filled with storm clouds, it may appear that the Church has no other recourse but to batten down the hatches and attempt to ride the storm."
